Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
50:52.3,0.9888,0.3081,-0.0015,-66.5283,-13.855,11.2915,94.1144,-70.1477,-24.9335,walk
50:52.3,0.9336,0.4028,-0.0254,-114.3799,-14.2212,-9.5215,91.8951,-70.9552,-34.574,walk
50:52.3,0.978,0.25,-0.0967,-122.6807,-24.292,9.7046,87.7423,-70.6915,-46.1096,walk
50:52.3,0.9648,0.1519,-0.0063,4.2725,31.4941,10.6201,81.1725,-72.301,-48.0103,walk
50:52.5,0.8848,0.3521,-0.0654,-62.3169,10.6812,10.8643,72.8339,-73.0646,-44.0222,walk
50:52.5,0.8857,0.2515,0.0527,-33.3862,8.3618,15.0757,65.0665,-74.4104,-42.3688,walk
50:52.7,1.1675,0.1304,0.335,20.5688,41.2598,2.6855,57.7277,-76.1023,-39.3256,walk
50:52.7,0.8652,0.146,0.4834,-57.7393,42.1753,-57.5562,49.0594,-70.0543,-35.8759,walk
50:53.1,0.7471,0.165,0.2271,-11.9629,-17.0288,-81.543,54.9811,-63.6163,-49.6362,walk
50:53.1,0.8862,0.3491,0.1919,-85.7544,-60.2417,-65.4907,66.0004,-61.1664,-70.0159,walk
50:53.2,0.9023,0.2842,0.3667,-24.8413,-22.0337,-18.0054,67.2473,-60.5841,-81.7712,walk
50:53.4,0.7368,0.2134,0.1851,-6.4087,-13.855,-0.1831,67.0166,-60.2875,-85.4297,walk
50:53.4,0.8989,0.3188,0.0215,-26.4893,-72.876,38.8184,72.6251,-65.2753,-91.4447,walk
50:53.4,0.96,0.2461,0.02,-27.4048,-46.5698,14.2212,76.7065,-67.5439,-98.1848,walk
50:53.4,0.9326,0.4463,-0.0669,64.209,-14.3433,10.498,79.173,-68.9941,-99.9261,walk
50:53.5,0.978,0.2939,-0.0386,-27.8931,-15.8691,-13.6108,81.6394,-68.6426,-102.1838,walk
50:53.7,0.9331,0.3296,-0.0352,5.9204,13.0005,9.8877,83.562,-69.0216,-104.7821,walk
50:53.8,0.9932,0.3047,0.0049,2.3804,8.4229,13.1226,82.7435,-70.0543,-104.8425,walk
50:53.9,0.9438,0.27,0.0332,28.1372,14.2212,-0.5493,81.7767,-70.5652,-105.3204,walk
50:53.9,0.9272,0.4297,0.0327,19.2871,13.7939,-1.3428,80.0354,-70.3894,-102.2113,walk
50:54.1,0.9409,0.3208,0.0522,-11.7798,-1.77,2.6855,80.0629,-70.274,-103.5352,walk
50:54.3,0.9487,0.3027,0.021,10.2539,2.8076,5.9204,80.1727,-70.675,-105.2655,walk
50:54.3,0.9624,0.2681,0.0313,-12.146,-7.5073,1.8311,80.5133,-70.9277,-107.1222,walk
50:54.5,0.9585,0.3384,0.042,1.2207,0.1831,1.0986,81.0681,-71.4661,-108.7207,walk
50:54.5,0.9595,0.3003,0.0278,-2.4414,-1.9531,0.1221,81.2604,-71.4551,-110.2423,walk
50:54.6,0.9536,0.2866,0.0317,0.1831,-0.1831,2.8687,81.7767,-71.6309,-112.0551,walk
50:54.6,0.9561,0.3203,0.0293,-0.7935,-2.0142,3.7842,82.2382,-72.1198,-113.335,walk
50:54.7,0.9565,0.2998,0.0259,0,0.1221,0.1831,82.5787,-72.2516,-114.8676,walk
50:54.9,0.9614,0.2944,0.0234,-2.6245,-2.5024,2.2583,82.8918,-72.3724,-116.1969,walk
50:55.0,0.9688,0.2783,0.02,-1.4648,-0.9766,1.8921,83.2104,-72.6196,-117.5592,walk
50:55.0,0.9644,0.2837,0.019,0.6104,0.4883,0.5493,83.4137,-72.7954,-118.5425,walk
50:55.3,0.957,0.29,0.0195,1.709,0.7935,0.3052,83.4357,-72.8723,-119.2236,walk
50:55.5,0.9639,0.2881,0.0229,-0.3052,0,-0.2441,83.5071,-72.8943,-119.9268,walk
50:55.5,0.959,0.2876,0.0239,0.5493,0.2441,-0.061,83.54,-72.9437,-120.5804,walk
50:55.7,0.9644,0.2856,0.0244,0.6104,0.3052,0.9766,83.584,-72.9932,-121.1957,walk
50:55.7,0.958,0.2749,0.0254,0.4883,0.061,1.0376,83.6774,-73.0811,-121.8604,walk
50:55.7,0.9565,0.2798,0.0215,1.4038,0.5493,0.5493,83.8806,-73.2788,-122.536,walk
50:55.7,0.9609,0.2866,0.0205,-1.5869,0.1831,-1.4648,83.8037,-73.1964,-122.959,walk
50:56.0,0.96,0.2866,0.0269,0.5493,0.1831,-0.7324,83.8586,-73.158,-123.5797,walk
50:56.2,0.9634,0.2866,0.0254,-0.1221,-0.7324,-0.1831,84.0839,-73.1195,-124.3103,walk
50:56.2,0.9595,0.2822,0.0229,0.1221,-0.2441,-0.1221,84.2816,-73.0865,-124.986,walk
50:56.4,0.9639,0.2808,0.0186,1.2817,-0.5493,0.6714,84.5563,-73.1415,-125.6561,walk
50:56.4,0.9629,0.2861,0.0225,3.0518,0.7935,-0.5493,84.8254,-73.1909,-126.0681,walk
50:56.6,0.958,0.2817,0.0176,0.1831,0,1.0986,84.765,-73.2019,-126.145,walk
50:56.8,0.9561,0.2983,0.021,2.1362,0.7935,-0.3052,84.9408,-73.2239,-126.4636,walk
50:56.8,0.9639,0.2866,0.022,-2.2583,-1.709,-0.1831,85.0397,-73.1525,-126.969,walk
50:56.8,0.9561,0.2856,0.0176,-1.4038,-0.9155,0.6104,85.2209,-73.1744,-127.6392,walk
50:56.8,0.9644,0.2837,0.0161,-2.4414,-0.9155,0,85.5286,-73.2678,-128.4467,walk
50:56.8,0.9604,0.2896,0.0151,-0.6714,-0.5493,0.061,85.611,-73.2733,-128.9795,walk
50:57.0,0.9658,0.2842,0.0161,-1.4648,0,-0.8545,85.7263,-73.2788,-129.5013,walk
50:57.1,0.9609,0.2813,0.0156,-0.2441,0,0,85.7538,-73.2404,-129.8914,walk
50:57.1,0.959,0.2915,0.0186,0.8545,0.9155,-0.9155,85.7098,-73.2019,-130.0562,walk
50:57.3,0.96,0.2905,0.0195,-0.8545,-0.061,-1.0376,85.6384,-73.092,-130.21,walk
50:57.3,0.96,0.2896,0.0215,-1.2207,0.4883,-1.3428,85.5615,-72.9932,-130.3802,walk
50:57.5,0.96,0.29,0.0234,-0.2441,0.6714,-0.9155,85.4242,-72.9218,-130.4791,walk
50:57.5,0.9556,0.3003,0.0249,1.0986,1.0376,-0.8545,85.2704,-72.8229,-130.4736,walk
50:57.8,0.958,0.2998,0.0244,-0.1221,0.1831,-0.8545,85.0946,-72.7185,-130.4132,walk
50:57.8,0.9565,0.2959,0.0244,-1.0986,-0.3662,0.061,85.0562,-72.6526,-130.556,walk
50:57.8,0.9507,0.3018,0.0269,0.5493,-0.4272,1.5259,85.199,-72.7405,-130.8582,walk
50:57.9,0.9629,0.2944,0.022,-0.4272,-1.0376,1.4648,85.4242,-72.9163,-131.1987,walk
50:58.0,0.958,0.2925,0.0225,1.1597,0.061,0,85.589,-73.0042,-131.4624,walk
50:58.2,0.9609,0.2847,0.0171,0.1831,0.3662,-0.1831,85.611,-72.9547,-131.5997,walk
50:58.2,0.9575,0.2969,0.0205,0.6104,0,0,85.6549,-72.9437,-131.6711,walk
50:58.4,0.9575,0.2974,0.021,0.2441,-0.2441,1.2207,85.7483,-72.9822,-131.825,walk
50:58.6,0.9595,0.2915,0.019,-0.1831,-0.1831,-0.2441,85.7758,-73.0206,-131.9897,walk
50:58.6,0.9585,0.291,0.0195,-0.5493,-0.4272,0.4272,85.7867,-73.0426,-132.0996,walk
50:58.6,0.957,0.2896,0.0215,-0.1831,0,0,85.7922,-73.0481,-132.2095,walk
50:58.8,0.9629,0.2925,0.0229,-0.7324,-0.2441,-0.4883,85.8252,-73.0481,-132.3413,walk
50:58.8,0.9561,0.2905,0.0161,0.061,-0.4272,1.1597,85.8911,-73.0975,-132.5116,walk
50:59.0,0.958,0.2935,0.022,0.1831,0,0.5493,85.9406,-73.1964,-132.6434,walk
50:59.0,0.9648,0.2881,0.0239,-0.3662,-0.4883,0.7935,86.0559,-73.2843,-132.8796,walk
50:59.1,0.9595,0.2871,0.0239,-0.9155,0.7324,-1.0376,85.8746,-73.2239,-132.7808,walk
50:59.4,0.9629,0.2891,0.0205,0.2441,0.2441,0.2441,85.9406,-73.2843,-132.9675,walk
50:59.4,0.96,0.2915,0.0215,0,-0.3662,0.4883,85.979,-73.3173,-133.0774,walk
50:59.4,0.9595,0.2866,0.0205,-0.6104,0.2441,-0.061,85.8911,-73.3008,-133.0609,walk
50:59.8,0.9604,0.2915,0.0186,0.1831,0.2441,0.3662,85.9241,-73.3667,-133.1543,walk
50:59.9,0.9604,0.2813,0.0171,-0.5493,-0.1221,0.3662,85.8691,-73.3777,-133.1873,walk
50:59.9,0.9561,0.2827,0.0205,0.4272,0.4883,0.1831,85.8746,-73.4052,-133.2312,walk
50:59.9,0.9634,0.2856,0.021,-0.3052,-0.3662,-0.1221,86.0284,-73.4381,-133.4729,walk
50:59.9,0.9629,0.2808,0.0205,0.1831,-0.7935,-0.1221,86.0614,-73.4161,-133.5773,walk
51:00.0,0.9609,0.2856,0.021,0.6714,-0.1221,-0.4272,86.2317,-73.4106,-133.7695,walk
51:00.2,0.9575,0.2837,0.0156,1.2817,-0.9766,0.4883,86.5118,-73.3887,-134.0497,walk
51:00.2,0.9658,0.2886,0.0181,-0.6104,0.1221,-0.6714,86.7535,-73.4161,-134.2749,walk
51:00.4,0.957,0.2915,0.0171,-0.3662,-0.9155,1.0986,86.8524,-73.4326,-134.3683,walk
51:00.4,0.9712,0.2773,0.0142,-0.6714,-0.8545,0.9155,87.0172,-73.493,-134.6265,walk
51:00.8,0.959,0.2837,0.0127,1.2817,-0.3052,0.7324,87.1655,-73.6029,-134.7803,walk
51:00.8,0.9609,0.2813,0.0146,0.1831,0.4272,-1.0986,87.2424,-73.5974,-134.8242,walk
51:00.8,0.9624,0.2793,0.0132,-0.3662,0.4272,-0.9155,87.182,-73.5095,-134.7748,walk
51:00.8,0.9624,0.2905,0.0151,0.6714,0.3662,-0.9766,87.1271,-73.3942,-134.7198,walk
51:01.1,0.9614,0.2983,0.0161,-0.8545,-0.9766,-0.3052,87.0886,-73.3392,-134.6704,walk
51:01.1,0.9653,0.2866,0.0156,-0.7935,-1.5869,1.6479,87.3358,-73.3722,-135.0494,walk
51:01.1,0.9604,0.2798,0.0122,0.4272,-0.1831,1.4038,87.5995,-73.548,-135.412,walk
51:01.7,0.9629,0.2808,0.0083,0.1831,-0.1221,0.2441,87.6819,-73.6029,-135.5164,walk
51:01.8,0.9639,0.2803,0.0127,0.7935,0.2441,-0.7324,87.6819,-73.5919,-135.5219,walk
51:02.0,0.9668,0.2734,0.0186,-0.1221,2.1362,-1.5869,87.3798,-73.493,-135.2087,walk
51:02.0,0.9551,0.2935,0.0205,-3.9673,-0.7324,-2.6855,86.9623,-73.2733,-135.0275,walk
51:02.0,0.9512,0.3091,0.0103,2.4414,-4.6387,7.6904,87.0447,-73.4491,-135.5768,walk
51:02.0,0.96,0.2651,0.0259,2.2583,2.2583,-5.127,87.3303,-73.3392,-135.7086,walk
51:02.0,0.9624,0.312,0.0215,2.3193,-2.3804,2.7466,87.7698,-73.3942,-135.6921,walk
51:02.0,0.9507,0.2935,0.0078,0.061,0.9155,-2.1973,87.4072,-73.2788,-135.368,walk
51:02.2,0.9609,0.3105,0.001,-4.8828,-3.1128,1.4648,87.5995,-73.3228,-135.769,walk
51:02.2,0.9707,0.2373,0.0078,5.6763,2.3193,0.5493,87.3633,-73.2019,-135.7416,walk
51:02.3,0.9624,0.2998,0.02,2.9297,2.5024,-1.0986,87.2369,-73.3063,-134.9945,walk
51:02.5,0.959,0.2979,0.0205,-1.0376,-0.6104,-0.9766,87.0667,-73.2129,-134.6924,walk
51:02.5,0.959,0.2881,0.0215,-1.2817,0.061,-1.4038,86.9458,-73.0975,-134.7473,walk
51:02.7,0.9629,0.2896,0.019,-0.5493,0.2441,-0.6104,86.7371,-73.0096,-134.632,walk
51:02.7,0.9604,0.2861,0.02,-0.1831,1.4038,0.7935,86.358,-72.9437,-134.3683,walk
51:02.7,0.9497,0.313,0.0195,1.2207,0.1831,0.6714,86.2152,-73.0481,-134.2694,walk
51:02.9,0.9546,0.3008,0.0166,-1.1597,0.1221,-2.8687,86.2042,-72.8339,-134.3188,walk
51:03.0,0.9546,0.3091,0.0259,-3.1738,-0.2441,-2.8076,86.1163,-72.5098,-134.3188,walk
51:03.0,0.957,0.3037,0.021,1.77,0.8545,0.5493,86.1383,-72.4768,-134.4232,walk
51:03.2,0.9512,0.313,0.0225,2.0752,0.9155,0.2441,86.1163,-72.4658,-134.2859,walk
51:03.4,0.9531,0.3047,0.0249,-1.0376,-1.0376,0.4883,86.1548,-72.4274,-134.3298,walk
51:03.4,0.9595,0.3008,0.0186,-0.4272,-1.2207,1.2817,86.3141,-72.4768,-134.5496,walk
51:03.6,0.9561,0.2969,0.0176,-0.7324,-0.7935,0.4272,86.5009,-72.6196,-134.8022,walk
51:03.7,0.9585,0.2944,0.0171,0,0.1831,0.1831,86.5613,-72.6196,-134.8956,walk
51:03.7,0.9639,0.2988,0.019,-0.061,-0.2441,0.1831,86.6656,-72.6691,-135.0055,walk
51:03.8,0.9536,0.311,0.0225,1.0376,0.1221,0.7324,86.6656,-72.724,-134.9066,walk
51:04.0,0.9595,0.2949,0.0171,-0.6104,-0.061,-0.4272,86.6272,-72.702,-134.9286,walk
51:04.0,0.9536,0.3042,0.0161,1.4648,0.2441,1.5869,86.7041,-72.7899,-134.9231,walk
51:04.2,0.9609,0.2925,0.0176,0.5493,-0.1831,0.2441,86.8195,-72.9108,-135.0824,walk
51:04.2,0.957,0.2983,0.0176,0.2441,0.1831,-0.061,86.77,-72.9108,-134.978,walk
51:04.3,0.959,0.2925,0.0176,1.1597,-0.7324,1.0986,86.9073,-72.9327,-135.0769,walk
51:04.3,0.9536,0.2974,0.0122,1.1597,0.7935,1.2207,87.2809,-73.1195,-135.2856,walk
51:04.6,0.96,0.2861,0.0161,-1.8311,-0.4272,-0.2441,87.2534,-73.092,-135.3461,walk
51:04.6,0.9585,0.3081,0.0244,-3.6011,0.061,-3.1128,87.1436,-73.0042,-135.3406,walk
51:04.7,0.9478,0.2979,0.0269,-8.1787,-2.6245,-2.0142,86.8964,-72.7789,-135.4559,walk
51:04.7,0.9673,0.2583,0.0376,-2.9297,-0.7324,-0.7935,87.0941,-72.6416,-136.5271,walk
51:05.0,0.9526,0.2769,0.0522,9.7656,-0.4272,-0.2441,87.0447,-72.6746,-136.5051,walk
51:05.1,0.9482,0.3105,0.0439,-1.0986,-10.498,-2.3193,88.7805,-72.8119,-137.84,walk
51:05.1,0.9272,0.3594,0.0156,18.2495,-4.1504,-0.3662,91.4557,-72.6855,-139.5099,walk
51:05.2,0.9668,0.2734,-0.0215,5.5542,-5.4932,-0.3052,94.0979,-72.3779,-141.3281,walk
51:05.3,0.9697,0.3516,-0.0806,16.7847,-0.3052,11.4136,95.8557,-73.0096,-141.6962,walk
51:05.4,0.9287,0.3354,-0.0552,6.5308,-5.3101,8.606,99.3109,-73.4601,-144.0308,walk
51:05.4,0.8989,0.396,-0.0337,18.1274,-5.188,9.2773,103.3704,-74.0698,-146.1346,walk
51:05.6,0.9517,0.3149,-0.0547,5.7983,-6.2866,15.8081,106.9684,-74.4598,-148.9362,walk
51:05.7,0.9438,0.3164,-0.0732,17.2119,-2.0752,22.2778,111.6595,-75.9869,-152.6331,walk
51:05.8,0.8901,0.4653,-0.0894,6.5308,-0.9766,24.353,116.7627,-78.2666,-155.8795,walk
51:05.9,1.1641,0.2715,-0.0854,-35.6445,-6.0425,-1.2817,117.8339,-77.4371,-159.4556,walk
51:06.0,0.9146,0.1719,0.021,-24.6582,66.04,-64.8193,96.9983,-75.2069,-141.4709,walk
51:06.1,1.1431,0.3081,0.0654,-45.166,54.4434,-82.3364,77.5525,-67.099,-124.3103,walk
51:06.2,0.8286,0.395,0.1733,-22.583,37.1094,-68.9697,71.8121,-59.0186,-122.0197,walk
51:06.2,0.6548,0.2915,0.1436,-54.9927,15.5029,-16.2964,65.0391,-54.3494,-119.6191,walk
51:06.4,0.6875,0.5059,0.3667,51.0864,7.4463,56.7017,60.0568,-56.64,-114.6478,walk
51:06.6,0.7749,0.707,0.4956,-24.9634,-2.5024,-25.7568,58.1781,-58.1342,-112.6923,walk
51:06.6,0.8584,-0.0645,0.2993,-60.8521,-15.564,-24.353,58.244,-59.2053,-119.35,walk
51:06.8,0.5947,0.125,-0.1782,-22.2168,-34.668,80.5054,63.1879,-60.9412,-122.9755,walk
51:06.9,0.8623,0.4824,0.0503,19.3481,-10.9863,14.3433,73.2239,-66.6595,-128.985,walk
51:06.9,0.9966,0.0625,-0.0586,62.6831,-34.1187,48.0957,88.1653,-71.0541,-141.5863,walk
51:06.9,0.9224,0.3574,0.0464,37.4756,-22.9492,36.438,104.5844,-75.1685,-154.1272,walk
51:07.1,0.9102,0.5107,-0.0684,59.8755,-7.9346,43.7012,115.1971,-78.1073,-160.8563,walk
51:07.2,0.9287,0.644,-0.0288,20.874,-4.0894,20.2637,120.6519,-79.1785,-163.7073,walk
51:07.3,1.1929,0.064,0.0625,-3.9063,74.8291,-79.0405,93.6914,-74.9542,-139.0265,walk
51:07.4,0.8472,0.436,0.0571,-15.3809,30.0293,-86.731,74.9597,-66.4508,-120.7947,walk
51:07.5,0.8267,0.2441,0.1167,-80.2002,19.5313,-84.7168,69.2468,-57.5244,-123.0524,walk
51:07.5,0.626,0.2725,0.165,-28.6255,-14.3433,-7.9346,65.9399,-54.5966,-127.2382,walk
51:07.7,1.2373,0.9961,0.396,5.5542,9.2163,80.0781,62.3529,-60.1776,-125.0739,walk
51:07.7,1.0537,0.5693,-0.125,-47.1191,-4.3945,-0.9155,62.8857,-58.6505,-126.936,walk
51:07.9,0.8535,0.4678,-0.1826,-86.4868,23.1323,26.8555,67.2858,-60.7214,-134.967,walk
51:08.0,0.8115,0.667,-0.0942,130.5542,11.3525,9.7656,74.1467,-67.3022,-137.796,walk
51:08.1,0.9741,0.0581,-0.0474,5.188,-50.5371,39.7949,86.4844,-69.9994,-148.9856,walk
51:08.2,0.8823,0.4028,0.001,46.2646,-16.4185,53.772,105.4688,-74.9927,-166.1188,walk
51:08.3,0.8628,0.6519,-0.0986,46.6309,-1.709,47.4243,115.2466,-78.7335,-172.0569,walk
51:08.3,1.3062,0.3726,-0.1953,-77.8198,-29.48,-25.1465,123.9093,-79.7333,179.632,walk
51:08.4,1.5356,-0.0562,-0.1074,-1.1597,65.5518,-98.938,90.9998,-72.8888,-151.6882,walk
51:08.7,0.8691,0.6875,0.2227,-29.4189,47.4854,-108.7646,75.174,-63.8031,-138.1091,walk
51:08.7,0.6382,0.0972,0.0942,-56.7017,21.0571,-58.6548,64.9127,-54.6954,-136.9226,walk
51:08.8,0.4717,0.3701,0.3774,3.3569,-17.6392,58.0444,62.7869,-55.4095,-139.5099,walk
51:08.9,1.0752,0.8926,0.6094,8.7891,38.147,-63.7207,60.3973,-61.6388,-136.2744,walk
51:09.0,0.7671,-0.6421,0.0542,4.5166,-65.979,11.7188,62.4243,-58.7384,-146.1237,walk
51:09.1,1.0796,0.2227,-0.0278,89.3555,-63.6597,49.0723,72.0099,-66.4838,-150.1392,walk
51:09.1,0.8311,0.271,-0.0127,-9.2163,-65.7349,37.0483,85.8142,-70.351,-158.9172,walk
51:09.3,0.9497,0.332,0.0166,51.5747,-39.1235,63.3545,104.2273,-74.4269,-174.7375,walk
51:09.5,0.8682,0.4766,-0.0132,34.6069,-6.4087,35.5835,120.0476,-78.1622,172.8259,walk
51:09.5,0.8501,0.6245,-0.041,-3.0518,-6.2256,18.1274,125.9363,-79.6729,169.2664,walk
51:09.7,1.3311,-0.0376,0.0264,-40.7715,60.1196,-95.8252,97.63,-75.4102,-166.1298,walk
51:09.7,0.9805,0.4883,0.0659,10.498,47.9736,-82.5195,75.2179,-66.8353,-142.8992,walk
51:09.8,0.688,0.2407,0.0977,-103.5156,40.5273,-78.3691,66.4783,-57.1344,-139.7845,walk
51:09.9,0.5879,0.2729,0.1836,-10.9863,-16.7847,8.4839,62.9242,-54.3933,-140.8997,walk
51:10.0,1.1157,1.0718,0.3945,12.3901,-7.0801,59.5703,62.5177,-60.5896,-138.4113,walk
51:10.1,1.0449,0.1875,-0.3208,-225.647,-17.7612,-42.9077,60.6775,-59.5184,-142.7728,walk
51:10.1,0.7153,0.4277,-0.1172,42.9688,10.498,76.416,66.0388,-64.6765,-146.1841,walk
51:10.3,0.8379,0.3662,-0.0488,60.4858,-30.8838,33.6304,81.0187,-70.697,-154.5776,walk
51:10.3,0.9155,0.0273,-0.0874,18.3105,-32.7148,37.5977,99.1791,-74.6246,-170.6616,walk
51:10.6,0.8994,0.4009,0.0449,39.3066,-23.1323,39.1235,117.5812,-78.2117,176.0834,walk
51:10.6,0.7603,0.7041,-0.1245,14.6484,-5.188,25.6958,127.5458,-80.6232,170.376,walk
51:10.7,1.314,-0.0073,0.0889,-46.0205,64.4531,-73.8525,108.5449,-76.701,-175.3198,walk
51:10.8,0.9312,0.1714,-0.0005,7.019,74.2798,-92.041,76.9208,-67.9724,-143.2617,walk
51:11.2,0.7983,0.291,0.1357,-98.0835,40.7715,-88.9282,69.126,-57.821,-140.1691,walk
51:11.2,0.5117,0.187,0.0879,-6.3477,-5.7373,-0.6104,64.3964,-54.6021,-139.1748,walk
51:11.2,1.1499,0.9663,0.458,24.7192,-17.0898,94.9097,60.3809,-61.8201,-133.8849,walk
51:11.2,1.5991,1.2876,-0.0498,-80.2612,-95.1538,17.2729,62.2375,-60.7819,-137.7905,walk
51:11.3,0.436,0.2539,-0.1768,50.2319,16.0522,100.9521,65.8521,-62.8693,-144.4757,walk
51:11.6,0.7412,0.5508,0.0688,47.5464,-24.1699,20.874,80.6836,-69.4885,-150.0018,walk
51:11.6,0.9307,0.1465,-0.1265,42.4194,-41.687,48.584,96.9818,-73.7567,-163.6249,walk
51:11.8,0.8936,0.4624,0.0078,26.3672,-32.8979,44.9829,118.4106,-78.0524,178.5004,walk
51:11.8,0.7012,0.5894,-0.1304,21.4233,11.1084,17.9443,128.2159,-80.5682,172.4194,walk
51:11.8,1.624,-0.2119,-0.0039,-66.6504,22.1558,-90.5762,102.2223,-76.0748,-164.6796,walk
51:11.9,0.9175,0.5112,0.0635,19.6533,58.96,-89.7217,77.0856,-67.5165,-137.6807,walk
51:12.0,0.6611,0.2144,0.1167,-126.709,27.71,-80.3833,67.901,-57.2003,-133.2202,walk
51:12.1,0.6094,0.1973,0.1328,9.3994,-18.1274,27.0386,62.6495,-54.1351,-133.5059,walk
51:12.2,1.146,1.0132,0.3721,-5.3101,-10.3149,57.1899,60.7874,-60.8807,-128.9026,walk
51:12.4,1.2104,0.6055,-0.2334,-88.8672,-43.9453,-16.6016,61.6608,-60.0842,-131.9403,walk
51:12.4,0.9487,0.7261,-0.2061,36.8042,24.1699,85.022,68.2526,-62.0288,-139.4769,walk
51:12.6,0.7754,0.5601,-0.0249,93.2617,7.4463,11.9629,78.761,-68.9392,-142.3663,walk
51:12.6,0.9883,0.0073,-0.106,32.7759,-41.5039,44.1895,94.2188,-73.2129,-155.6323,walk
51:12.8,0.8208,0.6313,-0.0146,40.9546,-16.7236,46.3867,115.3894,-77.9041,-171.5955,walk
51:12.8,0.772,0.5972,-0.144,-0.3052,3.8452,26.8555,126.8317,-80.766,-179.7089,walk
51:13.0,1.1777,0.0376,0.0205,-61.1572,82.4585,-83.313,111.7804,-78.2117,-167.8162,walk
51:13.0,0.9419,0.0903,-0.0098,25.5127,75.0732,-87.1582,80.0739,-69.1699,-136.9281,walk
51:13.2,0.6138,0.3071,0.0942,-97.4121,49.8657,-86.9751,70.4553,-59.3042,-129.3311,walk
51:13.6,0.5522,0.1304,0.0469,-11.0474,0,-1.4038,63.3856,-55.5194,-127.6282,walk
51:13.6,1.127,1.1924,0.417,23.0103,-15.1978,91.4307,62.3474,-62.3529,-124.7992,walk
51:13.8,1.5342,0.9688,-0.0928,-95.0928,-103.9429,6.2256,64.0283,-60.6665,-130.2979,walk
51:13.8,0.9204,0.521,-0.2104,54.5044,42.4805,55.4199,69.1809,-63.8141,-137.4939,walk
51:13.8,0.7686,0.4033,-0.0269,107.605,12.2681,11.8408,82.326,-70.6256,-142.7069,walk
51:13.8,0.9712,0.1035,-0.063,45.7153,-39.6118,35.9497,101.0687,-74.3005,-159.3292,walk
51:13.8,0.8213,0.5327,-0.0186,24.7192,-25.6958,45.105,121.2341,-78.1183,-175.5945,walk
51:14.4,0.8716,0.6318,-0.0884,23.7427,11.1084,27.6489,134.3903,-79.975,173.8806,walk
51:14.9,1.2798,-0.0425,-0.02,-62.3779,76.2939,-82.7026,108.0396,-77.7283,-162.713,walk
51:14.9,0.9346,0.2549,0.0083,30.9448,71.2891,-87.8296,78.6072,-69.1919,-131.3855,walk
51:14.9,0.6875,0.2725,0.0542,-137.0239,25.8179,-91.3696,69.3951,-59.1339,-129.0784,walk
51:15.1,0.5825,0.1235,0.063,-5.3711,-22.644,-7.9346,64.3359,-56.0797,-131.424,walk
51:15.1,1.2021,1.0342,0.4058,2.8076,-8.667,89.2334,62.3584,-63.1989,-128.5895,walk
51:15.1,1.4404,1.0806,-0.2046,-104.9194,-111.9385,29.541,64.8578,-62.1991,-134.8792,walk
51:15.1,0.7852,0.6987,-0.1479,48.5229,47.1802,45.8984,70.3894,-63.9185,-141.2128,walk
51:15.1,0.7964,0.3325,-0.0581,114.7461,6.1646,9.9487,84.1168,-70.6586,-147.6068,walk
51:15.7,0.895,0.251,-0.0801,46.2646,-39.6118,46.7529,102.3926,-74.6191,-162.5153,walk
51:15.7,0.8516,0.4907,-0.0024,34.79,-22.583,47.7905,124.6564,-78.6346,178.7091,walk
51:15.9,0.8481,0.6455,0.0381,-2.8076,-3.479,10.498,132.8137,-80.5957,173.1006,walk
51:16.0,1.8384,-0.0742,-0.1655,-14.9536,45.105,-107.9102,96.9708,-75.7452,-154.1437,walk
51:16.0,0.936,0.6108,0.1528,-29.6631,43.5791,-108.7036,78.2391,-66.4783,-134.3518,walk
51:16.5,0.6646,0.1133,0.0903,-100.4028,32.4707,-50.293,67.4286,-57.0081,-131.6821,walk
51:16.7,0.5034,0.2817,0.3154,21.6675,-23.0713,43.5791,64.6436,-56.3708,-132.9126,walk
51:17.3,0.9673,1.1255,0.5698,3.8452,41.2598,-74.646,62.0068,-62.4078,-127.7161,walk
51:17.4,0.624,-1.1748,-0.168,-35.2173,-34.9731,-14.2822,60.1282,-60.0897,-137.6532,walk
51:17.5,0.9033,0.269,-0.0786,46.814,-97.1069,72.3267,68.6151,-65.0665,-138.8782,walk
51:17.5,0.7817,0.3599,0,-21.4233,-44.7388,41.0156,83.5291,-69.884,-149.3152,walk
51:17.6,0.9824,0.1807,-0.0737,61.5234,-46.0205,66.4063,105.2765,-75.0476,-168.4973,walk
51:17.6,0.8164,0.5703,-0.0347,50.6592,6.1035,49.0723,121.9592,-79.2499,-179.3518,walk
51:17.7,0.9727,0.8945,0.0806,-6.0425,-29.2358,20.3247,126.8152,-81.4471,179.187,walk
51:17.7,1.6357,-0.0664,-0.062,10.8643,82.0313,-105.5908,94.0155,-75.6793,-151.7322,walk
51:17.7,0.9023,0.6025,0.1392,-11.5356,39.5508,-97.9004,76.6461,-66.264,-134.0662,walk
51:17.7,0.7041,0.1309,0.0835,-79.0405,43.1519,-50.8423,67.1594,-57.7386,-134.0552,walk
51:17.7,0.4941,0.3638,0.2598,-11.1694,-27.5269,21.3623,64.9896,-57.1838,-137.5269,walk
51:17.7,1.104,0.9429,0.3691,22.2778,37.9639,-10.376,62.4133,-61.842,-136.3953,walk
