Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
01:24.1,1.1719,0.0479,-0.2261,140.4419,-171.875,43.1519,56.5741,-84.2322,-63.4625,lunge
01:24.3,1.0869,0.2773,-0.2388,87.7075,-105.1025,29.2358,165.4266,-82.8479,-162.9492,lunge
01:24.3,1.0122,-0.0249,-0.2119,173.0957,39.1235,8.1177,-170.1123,-84.9408,178.2916,lunge
01:24.3,0.9692,0.4355,-0.0591,18.3105,18.1274,-37.5977,177.0007,-87.8192,-163.1525,lunge
01:24.5,0.9443,-0.1265,0.0244,0.8545,28.2593,-16.8457,64.9127,-86.803,-56.1731,lunge
01:24.5,1.0396,0.2505,-0.0239,64.3311,18.1885,-3.8452,66.709,-85.7867,-56.6125,lunge
01:24.6,0.9897,0.2627,-0.0581,-45.105,15.3809,7.3242,63.2703,-84.5837,-54.7174,lunge
01:24.9,0.915,-0.0728,0.146,-119.0186,35.0952,-40.9546,47.3181,-82.4139,-49.6747,lunge
01:24.9,1.1074,0.125,0.0498,87.5244,-13.6719,-62.8662,50.0208,-78.0249,-61.1938,lunge
01:24.9,0.8687,0,0.2852,-80.5054,23.1934,-2.6855,71.9385,-76.2396,-85.1715,lunge
01:25.2,0.936,0.0938,0.1089,-12.0239,-93.0176,0.5493,64.9786,-76.8713,-83.1061,lunge
01:25.2,1.2339,-0.1182,-0.0313,-7.7515,-31.311,30.4565,81.1945,-80.4694,-103.3154,lunge
01:25.4,1.0957,0.3413,-0.0195,119.2627,11.1694,-3.3569,95.6635,-82.6941,-116.0815,lunge
01:25.4,1.0015,0.2725,-0.1626,-23.0713,0.9766,0.9155,103.8208,-83.205,-122.6514,lunge
01:25.6,0.9751,-0.0303,-0.0093,-22.9492,-15.9302,9.2163,110.0116,-83.4796,-132.8357,lunge
01:25.6,1.0186,0.0967,-0.1035,3.1738,-8.606,5.5542,129.5782,-83.7103,-153.5065,lunge
